Company,Reason Rejected,Evidence,Notes
Forbes Marshall,Revenue far exceeds target band (auto-disqualify),"Large, established industrial group (steam engineering and process control) with a multi-decade history and a scale well beyond Pune SME job shops in the same general space.",No further research conducted once scale was apparent; not formally scored.
Kirloskar Brothers,Revenue far exceeds target band (auto-disqualify),"Publicly known, large, listed manufacturer (pumps and fluid-management systems); revenue and headcount are an order of magnitude above the Rs.500Cr ceiling.",No further research conducted; not formally scored.
Spicer India,Joint-venture / institutional ownership (auto-disqualify),Operates as a joint venture between Dana Incorporated (a US-listed multinational) and the Anand Group; ownership and strategic decisions sit with the JV partners rather than a single accessible promoter-founder.,"Fails the 'promoter-led, not private-equity/MNC-controlled' filter even though it is otherwise a real Pune-area manufacturer."
Track Components,Primary operating location could not be confirmed,"Public listings reference multiple manufacturing locations without a clearly confirmed primary Pune-district site, so the city/E2-accessibility criterion could not be verified with confidence.",Recommend re-attempting if a confirmed Pune address surfaces in a future research pass.
Generic trader / distributor listings (multiple),Failed E1 Producer gate,"A number of search results for 'Pune instrumentation/auto-component suppliers' resolved to companies whose own websites describe trading, importing or reselling third-party products rather than manufacturing.",Not individually named because they were screened out before being added to the working candidate list; flagged here so the same search patterns are not re-run unchanged in a follow-up pass.
Manas Microsystems Pvt. Ltd.,Acquired by a larger group -- promoter dynamic has changed (auto-disqualify),"Manas Microsystems (flow-meter manufacturer, Bhosari, Pune, founded 1998) became part of the Baumer Group (Switzerland) on 27 August 2024, per the company's own website. Baumer is a multinational sensor-technology company; Manas is now a subsidiary, not an independently promoter-led business.","This company appeared in the initial candidate list with strong-looking surface evidence (25+ years, ISO 9001:2015, named MD, 67% repeat-customer rate) and would likely have scored in the A/B band on product evidence alone. The acquisition was only found by visiting the company's own 'About Us' page directly -- a reminder that even well-evidenced candidates need an explicit current-ownership check before inclusion."
Cimcon Digital India Pvt. Ltd.,Not Pune-based -- fails city-fit criterion for this engagement,"Cimcon Digital / Cimcon Automation's registered office and primary operations are in Ahmedabad, Gujarat (with a separate Ahmedabad-based industrial-directory listing), not Pune. The company is also considerably larger and more nationally distributed (deployments in 29 countries, IOCL as a named client, active hiring for a New Delhi-based Regional Sales Manager) than the target profile.","Originally listed under 'Industrial Sensors & Instrumentation' with an unverified website; the city mismatch was only discovered by reading the full company description, since the company name itself gives no geographic signal."
Valiant Alucast Technology Pvt. Ltd.,Not Pune-based -- fails city-fit criterion for this engagement,"Company's registered MCA address (CIN U27100PN2011PTC141552) is in Hatkanangle, Kolhapur, not Pune, despite being registered with the Pune Registrar of Companies. The website itself lists 'Website: Not Available' on ZaubaCorp, and product listings consistently cite a Kolhapur plant address.","Kolhapur is one of the cities approved for this project's broader scope, but the methodology and sourcing for this specific batch were scoped to Pune city/district; mixing cities mid-batch would break the apples-to-apples comparison, so this was excluded rather than silently re-scoped."
Sarvesh Analytics Pvt. Ltd.,Scored below the C-band threshold (26/100) on real evidence,"Genuine in-house brand products exist (ACCURRA gas analysers, i-CONS sample-handling systems, established 2002), but no ISO or other formal quality certification was found, no recent (growth/hiring/facility) signal was found, no leadership depth beyond a single MD was found, and third-party data shows a reported headcount (4 employees) inconsistent with its claimed revenue -- a data-quality flag in itself.","Included here rather than silently dropped to show the scoring discipline actually being applied: a company with real product IP can still fail to clear 40/100 once growth, systems and succession evidence are scored honestly rather than assumed."
Earth Enviro Technology,Ambiguous / likely-trader status on E1 Producer gate,"One of the company's own IndiaMART listings explicitly self-describes as a 'Trader - Retailer of Online Monitoring System,' while other listings for the same company describe it as a 'Manufacturer.' Unlike every company retained on the pass list, no description of an owned factory floor, in-house fabrication process, or named machinery was found anywhere in public sources -- only finished-product listings (water-quality analysers, weather stations, flow meters) consistent with assembling and reselling bought-in sensor modules under its own brand.","A genuine borderline call rather than a clear-cut fail; recommend a direct factory-visit or phone verification before fully ruling it out, since CEO contact details (Ashwini Dahiphale) are publicly available."
